bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
NEIL2C,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NEIL2-,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NEIL1C,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NEIL1-,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NEEP4A,0.0,0.0,0.0,0.0,434053.1599839044,390034.1007520217
NEEP31,0.0,0.0,0.0,0.0,434053.1599839044,390034.1007520217
NEEP21,0.0,0.0,0.0,0.0,434053.1599839044,390034.1007520217
NEDE4K,0.0,0.0,0.0,0.0,388582.7514992566,846942.5192525992
NEDE4J,0.0,0.0,0.0,0.0,388582.7514992566,846942.5192525992
NECU1R,0.0,0.0,0.0,0.0,261839.91984032482,614201.8835852908
NECU1Q,0.0,0.0,0.0,0.0,261839.91984032482,614201.8835852908
NECU1C,0.0,0.0,0.0,0.0,261839.91984032482,614201.8835852908
NECU1-,0.0,0.0,0.0,0.0,261839.91984032482,614201.8835852908
NECT4B,0.0,0.0,0.0,0.0,587944.7031861235,309579.86639193713
NECT4A,0.0,0.0,0.0,0.0,587944.7031861235,309579.86639193713
NECT41,0.0,0.0,0.0,0.0,587944.7031861235,309579.86639193713
NECH21,0.0,0.0,0.0,0.0,409565.9093246756,289386.3564955857
NECH12,0.0,0.0,0.0,0.0,409565.9093246756,289386.3564955857
NECH11,0.0,0.0,0.0,0.0,410198.40505264397,289911.53802965546
NEAR3-,0.0,0.0,0.0,0.0,278802.0171792066,660371.083682913
NEAR2R,0.0,0.0,0.0,0.0,278802.0171792066,660371.083682913
NEAR2Q,0.0,0.0,0.0,0.0,278802.0171792066,660371.083682913
AMEM11,0.0,0.0,0.0,0.0,493112.13841703505,197018.88559544575
NANT1Q,0.0,0.0,0.0,0.0,186485.31015970482,728668.3186550036
NAIR3-,0.0,0.0,0.0,0.0,289785.2961619127,855274.9644669879
NAIR1R,0.0,0.0,0.0,0.0,289785.2961619127,855274.9644669879
NEIL4Q,0.0,0.0,0.0,0.0,247882.54301536342,657056.4452752568
NETH3-,0.0,0.0,0.0,0.0,254467.8770662181,669628.7420022961
NORL2B,0.0,0.0,0.0,0.0,435383.2058039697,383793.35087556316
NETS1-,0.0,0.0,0.0,0.0,240559.4738881443,564369.2513308846
NORL2A,0.0,0.0,0.0,0.0,435383.2058039697,383793.35087556316
PEHE2R,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
NOKY3B,0.0,0.0,0.0,0.0,261973.52383446053,614420.4372808317
NOKY3A,0.0,0.0,0.0,0.0,261973.52383446053,614420.4372808317
NOKY1-,0.0,0.0,0.0,0.0,261906.72341007573,614311.1599463032
NNGW62,0.0,0.0,0.0,0.0,384614.25933180045,708307.8995870593
NNGW61,0.0,0.0,0.0,0.0,384614.25933180045,708307.8995870593
NNGW22,0.0,0.0,0.0,0.0,384614.25933180045,708307.8995870593
NNGW21,0.0,0.0,0.0,0.0,384614.25933180045,708307.8995870593
NNGO42,0.0,0.0,0.0,0.0,366399.3204343926,669532.7293171326
ALYT2A,0.0,0.0,0.0,0.0,324608.0940315301,748533.5418086326
NNGO22,0.0,0.0,0.0,0.0,366399.3204343926,669532.7293171326
NNGO21,0.0,0.0,0.0,0.0,366399.3204343926,669532.7293171326
NINF41,0.0,0.0,0.0,0.0,572409.6714138002,111880.70788879102
NINF12,0.0,0.0,0.0,0.0,572409.6714138002,111880.70788879102
NINF11,0.0,0.0,0.0,0.0,572409.6714138002,111880.70788879102
NHYD61,0.0,0.0,0.0,0.0,510364.6717104716,179005.9558417942
NHYD2B,0.0,0.0,0.0,0.0,510364.6717104716,179005.9558417942
NHYD2A,0.0,0.0,0.0,0.0,510364.6717104716,179005.9558417942
NFLE41,0.0,0.0,0.0,0.0,562057.319819572,172457.36146973033
NFLE12,0.0,0.0,0.0,0.0,562057.319819572,172457.36146973033
NFLE11,0.0,0.0,0.0,0.0,562057.319819572,172457.36146973033
NEWX62,0.0,0.0,0.0,0.0,534709.8183243962,177876.80580538698
NEWX61,0.0,0.0,0.0,0.0,534709.8183243962,177876.80580538698
NEWX21,0.0,0.0,0.0,0.0,534709.8183243962,177876.80580538698
NEWX11,0.0,0.0,0.0,0.0,534709.8183243962,177876.80580538698
NETS3-,0.0,0.0,0.0,0.0,240559.4738881443,564369.2513308846
PEHE2Q,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
PEHE2W,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
PEHE2S,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
RASS11,0.0,0.0,0.0,0.0,315590.9035746327,212938.20922262536
RANN1Q,0.0,0.0,0.0,0.0,253186.35387580338,757960.8095338563
RAMW3B,0.0,0.0,0.0,0.0,527320.2636719532,86026.69391888249
RAMW3A,0.0,0.0,0.0,0.0,527320.2636719532,86026.69391888249
RAMW32,0.0,0.0,0.0,0.0,527961.799174876,104428.23015346148
RAMW31,0.0,0.0,0.0,0.0,527961.799174876,104428.23015346148
RAMW12,0.0,0.0,0.0,0.0,527320.2636719532,86026.69391888249
